fbref_name,fbref_team,tm_player_id,tm_name,match_type,confidence
Aaron Anselmino,Dortmund,1145504,Aarón Anselmino,exact_name,0.95
Aaron Cresswell,West Ham,92571,Aaron Cresswell,exact_name,0.95
Aaron Hickey,Brentford,591949,Aaron Hickey,exact_name,0.95
Aaron Ramsdale,Newcastle United,427568,Aaron Ramsdale,exact_name,0.95
Aaron Ramsey,Burnley,50057,Aaron Ramsey,exact_name,0.95
Aaron Seydel,Darmstadt 98,187499,Aaron Seydel,exact_name,0.95
Aaron Wan-Bissaka,West Ham United,477758,Aaron Wan-Bissaka,exact_name,0.95
Aaron Zehnter,Wolfsburg,730484,Aaron Zehnter,exact_name,0.95
Aarón Escandell,Oviedo,284430,Aarón Escandell,exact_name,0.95
Aarón Martín,Genoa,136581,Aaron Martin,exact_name,0.95
Abakar Sylla,Strasbourg,962555,Abakar Sylla,exact_name,0.95
Abdallah Sima,Lens,776798,Abdallah Sima,exact_name,0.95
Abde Ezzalzouli,Real Betis,724520,Abde Ezzalzouli,exact_name,0.95
Abde Rebbach,Alavés,718034,Abde Rebbach,exact_name,0.95
Abdel Abqar,Getafe,559979,Abdel Abqar,exact_name,0.95
Abdelhamid Ait Boudlal,Rennes,1134251,Abdelhamid Ait Boudlal,exact_name,0.95
Abdou Harroui,Hellas Verona,416386,Abdou Harroui,exact_name,0.95
Abdoul Kader Bamba,Nantes,560725,Abdoul Kader Bamba,exact_name,0.95
Abdoul Koné,Reims,1130445,Abdoul Koné,exact_name,0.95
Abdoul Ouattara,Strasbourg,991487,Abdoul Ouattara,exact_name,0.95
Abdoulaye Bamba,Angers,62351,Abdoulaye Bamba,exact_name,0.95
Abdoulaye Doucouré,Everton,127187,Abdoulaye Doucouré,exact_name,0.95
Abdoulaye Faye,Lorient,6107,Abdoulaye Faye,exact_name,0.95
Abdoulaye Keita,Getafe,93716,Abdoulaye Keita,exact_name,0.95
Abdoulaye Touré,Le Havre,181382,Abdoulaye Touré,exact_name,0.95
Abdoulie Ceesay,St Pauli,1280281,Abdoulie Ceesay,exact_name,0.95
Abdukodir Khusanov,Manchester City,763079,Abdukodir Khusanov,exact_name,0.95
Abdul Mumin,Rayo Vallecano,451801,Abdul Mumin,exact_name,0.95
Abdón Prats,Mallorca,177452,Abdón Prats,exact_name,0.95
Abel Bretones,Osasuna,658115,Abel Bretones,exact_name,0.95
Abel Ruiz,Girona,340376,Abel Ruiz,exact_name,0.95
Ablie Jallow,Metz,366045,Ablie Jallow,exact_name,0.95
Abner,Lyon,646402,Abner,exact_name,0.95
Aboubacar Ali,Strasbourg,739076,Aboubacar Lô,fuzzy,0.88
Aboubaka Soumahoro,Hamburger SV,97166,Aboubakar Oumarou,fuzzy,0.8571428571428571
Abu Kamara,Getafe,696764,Abu Kamara,exact_name,0.95
Achraf Dari,Brest,566823,Achraf Dari,exact_name,0.95
Achraf Hakimi,Paris Saint-Germain,398073,Achraf Hakimi,exact_name,0.95
Adam Armstrong,Wolves,250426,Adam Armstrong,exact_name,0.95
Adam Aznou,Valladolid,938146,Adam Aznou,exact_name,0.95
Adam Boayar,Elche,1064506,Adam Boayar,exact_name,0.95
Adam Buksa,Udinese,267160,Adam Buksa,exact_name,0.95
Adam Daghim,Wolfsburg,881297,Adam Daghim,exact_name,0.95
Adam Dźwigała,St Pauli,236966,Adam Dzwigala,exact_name,0.95
Adam Hložek,Hoffenheim,552057,Adam Hlozek,exact_name,0.95
Adam Karabec,Lyon,652061,Adam Karabec,exact_name,0.95
Adam Lallana,Southampton,43530,Adam Lallana,exact_name_team,1.0
Adam Marušić,Lazio,239802,Adam Marusic,exact_name,0.95
Adam Masina,Torino,286949,Adam Masina,exact_name,0.95
Adam Obert,Cagliari,568333,Adam Obert,exact_name,0.95
Adam Ounas,Lille,400485,Adam Ounas,exact_name,0.95
Adam Smith,Bournemouth,61841,Adam Smith,exact_name,0.95
Adam Webster,Brighton,212847,Adam Webster,exact_name,0.95
Adam Wharton,Crystal Palace,744149,Adam Wharton,exact_name,0.95
Adama Camara,Paris FC,973949,Adama Camara,exact_name,0.95
Adama Traoré,Fulham,70209,Adama Traoré,exact_name,0.95
Ademola Lookman,Atalanta,406040,Ademola Lookman,exact_name,0.95
Adnan Januzaj,Sevilla,177847,Adnan Januzaj,exact_name,0.95
Ado Onaiwu,Auxerre,308133,Ado Onaiwu,exact_name,0.95
Adri Embarba,Rayo Vallecano,288318,Adrián Embarba,fuzzy,0.9230769230769231
Adrian Beck,Heidenheim,273669,Adrian Beck,exact_name,0.95
Adrian Benedyczak,Parma,454386,Adrian Benedyczak,exact_name,0.95
Adrian Bernabe,Parma,466802,Adrián Bernabé,exact_name,0.95
Adrian Rodriguez,Alavés,608382,Adrián Rodríguez,exact_name,0.95
